"","X","publisher","journal","role","editor","affiliation","url","date"
"2011",2011,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Nuhan Purali","Department of Biophysics Sihhiye Ankara, Hacettepe University,Medical Faculty,Turkey, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""a2ccd2d7d0c3cecbe2cac3c1c7d6d6c7d2c78cc7c6d78cd6d0"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2012",2012,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Maria R Hepel","State University of New York, Potsdam, New York, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""026a6772676e6f7042726d767166636f2c676677"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2013",2013,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Xianbin Yang","University of Houston at Clear Lake, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""9ce4f5fdf2fef5f2b2e5fdf2fbdce8f4f5f3fdece8fdf1f9eeb2fff3f1"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2014",2014,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Yao Yifei","Department of Biomedical Engineering, Cleveland Clinic, Cleveland, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""81f8e0eef8e8e7e4e8f8f8e7c1e6ece0e8edafe2eeec"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2015",2015,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Ying Jia","Biology Department
University of Texas Rio Grande Valley
One West University Blvd
Brownsville, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""285141464f06424149685d5c5a4f5e064d4c5d"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2016",2016,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Shuo Li","Cleveland Clinic, Cleveland, OH, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""f5999c86c6b5969693db9a8792"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2017",2017,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Xu Wang","Cleveland State University &amp; Cleveland Clinic,Cleveland, Ohio, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""5225333c352a61123131347c3d2035"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2018",2018,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Sundar Thangapandian","Engineering Research and Development Center (ERDC), US Army Corps of Engineers (USACE), Vicksburg, Mississippi, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""572422393336256f66173e3b3b3e39383e2479323322"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2019",2019,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr Priyanka Sharma","Gene Regulation, Stem Cell and Cancer program Centre for Genomic Regulation (CRG), Barcelona, Spain, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""a8d8dac1d1c9c6c3c986dbc0c9dac5c9e8cbdacf86cddd"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2020",2020,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Urszula Domaska","Warsaw University of Technology and Industrial Chemistry Research Institute, Warsaw, Poland, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""4c39202d0c2f24623c3b62292839623c20"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2021",2021,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Grazyna Neunert","Department of Physics and Biophysics, Poznan University of Live Sciences, Poland, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""b4dad1c1dad1c6c0f4c1c49ac4dbcedad5da9ac4d8"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2022",2022,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Chung-Yi Chen","School of Medical and Health Sciences, Fooyin University,Taiwan, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""dba3a3e8ecec9bbda2f5bebfaef5afac"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2023",2023,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr Mona M Ghaly","Animal Production Department, Cairo University, Egypt, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""a6cbc9c8c7c1cec7cadf979fe6dfc7cec9c988c5c9cb"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2024",2024,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Yukihiro Furusawa","Department of Liberal Arts and Sciences, Toyama Prefectural University,
Japan, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""3b424e5052535249545d4e494e485a4c5a7b525857544e5f15585456"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2025",2025,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Rifat Hamoudi","Molecular, Cellcular and Computational Medicine, Director of Genomic Medicine Group, College of Medicine, University of Sharjah, Sharjah, UAE, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""fa88d4929b97958f9e93ba8f9996d49b99d48f91"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2026",2026,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr, Arkadiusz Matwijczuk","Biophysics faculty, Physics department of the University of Life Sciences, Lublin, Poland, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""c2a3b0a9a3a6abb7b1b8ecafa3b6b5aba8a1b8b7a982b7b2ecaeb7a0aeabacecb2ae"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2027",2027,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Suhas V. Vasaikar","Lester and Sue Smith Breast Center, Baylor College of Medicine, Houston, USA, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""7724021f160459211604161e1c16053715141a59121302"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2028",2028,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Stefania Erra","Medical Doctor, Specialized in Surgical Pathology, Casale Monferrato Hospital, Piedimont, Italy, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""aedddacbc8cfc0c7cf80cbdcdccfeed8c7dcc9c7c2c7c180c7da"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2029",2029,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Matteo Ferro","Urology division of European Institute of Oncology, Italy, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""2c485e414d585849434a495e5e436c40454e495e43024558"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2030",2030,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Rui Li","Sichuan University, State Key Laboratory of Biological Therapy, China, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""3a5653484f537a49594f145f5e4f145954"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2031",2031,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Petit Patrice X","Toxicology, Pharmacology and Cellular Signaling ""INSERM S-1124
University Center of Saints-PÃ¨res
45 Rue des Saints-PÃ¨res, France, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""7808190c0a111b1d56081d0c110c3811160b1d0a15561e0a"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2032",2032,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Dachun Xu","Department of Cardiology, Shanghai Tenth People's Hospital, Tongji University School of Medicine, China, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""1e667a7d29295e7f7277676b70307d7173"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2033",2033,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Yavuz Onganer","Division of Physical Chemistry, Department of Chemistry, Faculty of Science, AtatÃ¼rk University, in Erzurum, Turkey.","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2034",2034,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Souvik Basak","Division of Pharmaceutical Chemistry/ Biotechnology
Dr. B.C. Roy College of Pharmacy &amp; Allied Health Sciences,
Durgapur, WB, India.","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2035",2035,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Muhammad Khan","College of Basic Medical Sciences,
Dalian Medical University, Dalian-China","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2036",2036,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Feijun Luo","Director of Laboratory of Molecular Nutrition, College of Food Science and Engineering, Central South University of Forestry and Technology, China, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""9af6eff5fcfff3f0eff4a2a2a2daf9e9effceeb4fffeefb4f9f4"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2037",2037,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Daniel Silveira Serra","State University of CearÃ¡, Health Sciences Center, Department of Physiological Sciences, Brazil, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""afcbcec1c6cac3dccaddddceefc8c3c0cdc081ccc0c2"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2038",2038,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Romero BrandÃ£o","University of San Miguel,Brazil, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""d5a7bab8b0a7ba8ab7a7b4bbb1b4ba95baa0a1b9bababefba5a1"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2039",2039,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Yoonjee Chang","Institute of Control Agents for Microorganisms, Korea University, Korea, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""5920333a3138373e68691932362b3c3877383a77322b"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2040",2040,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Kuladip Jana","Division of Molecular Medicine and Scientist In-charge of the Centre for Translational Animal Research, Bose Institute, Kolkata, India, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""8be0fee7eaefe2fbcbe1e8e9e4f8eea5eae8a5e2e5"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2041",2041,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. A Muthusamy","Department of Plant Science, School of Life Sciences Manipal University, Karnataka,India, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""31501f5c42505c48715c505f5841505d1f545544"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2042",2042,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Mehdi Fatahi-Bafghi","Shahid Sadoughi University of Medical Sciences, Yazd, Iran, Email:<a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""fc91999498959a9d889d9495bc8f8f89d29d9fd2958e"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2043",2043,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Mehryar Habibi Roudkenar","Department of Medical Biotechnology, School of Paramedicine, Guilan University of Medical Sciences, Iran, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""8efce1fbeae5ebe0effccee9fbe3fda0efeda0e7fc"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2044",2044,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Shah Md. Asraful Islam","Department of Plant Pathology
Patuakhali Science and Technology University
Dumki, Patuakhali, Bangladesh, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""cda1a4b9a2a3bdacb9a58db4aca5a2a2e3aea2a0"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2045",2045,"iMedPub","Journal of Molecular Sciences","Editorial Board Member","Dr. Amir Nasser Shamkhali","Department of Chemistry, Faculty of Science
University of Mohaghegh Ardabili, Ardabil, Iran, Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""7d0e151c1016151c11143d08101c531c1e53140f"">[emailÂ protected]</a>
","https://www.imedpub.com/journal-molecular-sciences/editors.php","2021-05-19"
"2046",2046,"iMedPub","Journal of Medical Physics and Applied Sciences","Editor-in-Chief","Jean-Marc Girault","Responsible for medical imaging at the University of Tours,France","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2047",2047,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Defeng Wang","Assistant Professor, Director of Research Center for Medical Image Computing, Head of Division of Imaging Informatics, Dept of Imaging and Interventional Radiology, The Chinese University of Hong Kong","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2048",2048,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Guang-Bo Ge","Laboratory of Pharmaceutical Resource Discovery
Dalian Institute of Chemical Physics,
The Chinese Academy of Sciences,China","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2049",2049,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Hussin A. Rothan","Faculty of Medicine, University of Malaya, 50603 Kuala Lumpur, Malaysia","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2050",2050,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Muneer Aziz Mohammed Saleh","Nuclear Engineering Programme. Renewable Energy Engineering Department, Universiti Teknologi Malaysia, 81310 Skudai, Johor, Malaysia","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2051",2051,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Guy Courbebaisse","INSACAST - INSAVALOR IUT B Villeurbanne High Graduate Engineer Schools: ESCPE Lyon And INSA Lyon","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2052",2052,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Dr. Kaveh Ostad-Ali-Askari","Post-Doctoral Fellow, Department of Civil Engineering, Isfahan (Khorasgan) Branch, Islamic Azad University, University Blvd, Iran","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2053",2053,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Muhammad Asif","Assistant Professor, Physics Department,
COMSATS Institute of Information Technology,
Lahore Campus, Lahore, Pakistan.","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2054",2054,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Gabriele Guidi","senior medical physicist at the Az. University Hospital of Modena (Italy)
Applied Physics, University of Bologna
Faculty of Medicine, Academic Affairs,McGill University
Mountain 3605,
3605 rue de la Montagne
Montreal, Quebec H3G 2M1","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2055",2055,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Hairong Zheng","Professor of Shenzhen Institutes of Advanced Technology(SIAT),Chinese Academy of Sciences.","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2056",2056,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","H. Nagabhushana","Associate Professor
Dept. of studies &amp; Research in Physics,
Tumkur University, Tumkur- 572 103,
Karnataka, India","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2057",2057,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","RogÃ©rio Vidal","Medical Physician,Nuclear Energy National Commission in Brazil","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2058",2058,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Ioannis Balatsoukas","Physics teacher in Grades 9 - 12
Horizon private school,
Khalifa city, Abu Dhabi","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2059",2059,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Ali Neshasteh_Riz","Deputy of Medical Faculty, Department of Radiology and Technology &amp; Medical Physics, Faculty of Allied Health &amp; Medicine,
Iran University of Medical Sciences","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2060",2060,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Shaul Mordechai","Head, Biomedical Spectroscopy Laboratory
Department of Physics, Ben Gurion University of the Negev,
Beer Sheva 84105, Israel","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2061",2061,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Khaled Soliman","consultant medical physicist and deputy director of the Medical Physics Department Head of radiation protection &amp; Radiological sciences section, Prince Sultan Military Medical City, Riyadh, Saudi Arabia.","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2062",2062,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Wei Li","Center of Medical Physics and Technology
Hefei Institutes of Physical Sciences, Chinese Academy of Sciences
350 Shushanhu Road, HefeiÃ¯230031Ã¯Anhui Province, P.R. China","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2063",2063,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Marco Giannelli","Unit of Medical Physics, Pisa University Hospital Azienda Ospedaliero-Universitaria Pisana, Pisa, Italy","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2064",2064,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Wen G. Jiang","Professor in Surgery and Tumour Biology Director, Cardiff University-Peking University Cancer Institute, Cardiff
Director, Cardiff-Capital Medical Joint Centre for Biomedical Research, Cardiff University
Dean of International, Cardiff University","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2065",2065,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Kiki Theodorou","Associate Professor on Medical Physics &amp; Informatics, Medical School, University of Thessaly, Research Associate of the Medical Physics Department, Karolinska Institute, Stockholm, Sweden","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2066",2066,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Peng Yu","Associate Professor, College of Life Science, Hebei Normal University, Hebei Province, China.","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2067",2067,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Ahmed M. Alenezi","Senior Consultant Medical Physicist
Prince Sultan Military Medical City, Riyadh, Saudi Arabia","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2068",2068,"iMedPub","Journal of Medical Physics and Applied Sciences","Editorial Board Member","Stefania Clemente","medical physic, AIFM-ISPESL ,IRCCS San Raffaele del Monte Tabor, 60 Olgettina Street, Milan 20132, Italy","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2069",2069,"iMedPub","Journal of Medical Physics and Applied Sciences","Executive Editor","Akemi Morinaga","Associate Professor, Division of Medical Physics,Department of Radiation Oncology, Tohoku University Graduate School of Medicine, Japan","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2070",2070,"iMedPub","Journal of Medical Physics and Applied Sciences","Executive Editor","Allen M. Chen","Professor and Chair, Radiation Oncology, University of California, Irvine, California 2018-present.","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2071",2071,"iMedPub","Journal of Medical Physics and Applied Sciences","Executive Editor","Chang Ming Charlie Ma","Professor and Vice Chair, Department of Radiation Oncology
Director, Radiation Physics
Fox Chase Cancer Center
Room P-0069, 333 Cottman Ave.
Philadelphia, PA 19111, USA","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2072",2072,"iMedPub","Journal of Medical Physics and Applied Sciences","Editor","Igor Maryanchik","American Academy of Oral and Maxillofacial Radiology American Society of Head and Neck Radiology American Dental Association Alpha Omega International Dental Fraternity American Association of Orthodontists Foundation.","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2073",2073,"iMedPub","Journal of Medical Physics and Applied Sciences","Editor","Jung-in Kim","Department of Radiation Oncology, Seoul National University Hospital","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2074",2074,"iMedPub","Journal of Medical Physics and Applied Sciences","Editor","Chan-Hyeong Kim","Ph.D. in Nuclear Engineering,Texas A&amp;M University.","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2075",2075,"iMedPub","Journal of Medical Physics and Applied Sciences","Editor","Michael Anjello Jothi Rajan","Ph.D. Madurai Kamaraj University in Investigations on polymers in ultrasound environment","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2076",2076,"iMedPub","Journal of Medical Physics and Applied Sciences","Editor","Bilgin Kadri Aribas","Department of Radiology, Dr. Abdurrahman Yurtarslan Ankara Oncology Education and Research Hospital,Ankara, Turkey","https://medicalphysics.imedpub.com/editors.php","2021-05-19"
"2077",2077,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Isha Akulwar","Assistant Professor in Neurosciences Physiotherapy at K. J. Somaiya College of Physiotherapy, Mumbai, India","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2078",2078,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Laura D. Clark","University of Louisville, School of Medicine M.D., Professor in
Department of Anesthesiology and Perioperative Medicine, Kentucky, United States.","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2079",2079,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Rama C. Nair","Professor in School of Epidemiology, Public Health and Preventive Medicine (Biostatistics) and Vice-Dean for Professional Affairs, Faculty of Medicine, University of Ottawa, Ontario, Canada.","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2080",2080,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Elzbieta Biernat","Associate Professor at Warsaw School of Economics, College of World Economy, Department of Tourism, Poland","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2081",2081,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Dr.(Prof.) Prem Khosla","Professor &amp; Head of Department,Subharti Medical College, Meerut, UP, India","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2082",2082,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Madalina Elena Grigore","The National Institute for Research &amp; Development in Chemistry and Petrochemistry, Bucharest, Romania","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2083",2083,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Emanuela Marcelli","Deputy director of School of Medicine (Experimental, Diagnostic and Specialty Medicine Department - DIMES) of University of Bologna","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2084",2084,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","David Banji","Director (Academic &amp; Research) / Professor PRRMCP, Jawaharlal Nehru Technological University, Ananthpur, Kadapa, AP, India.","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2085",2085,"iMedPub","Journal of Medical Research and Health Education","Editorial Board Member","Laura Cercenelli","Research Assistant at the School of Medicine, Experimental Diagnostic and Specialty Medicine Department of the University of Bologna","https://www.imedpub.com/medical-research-and-health-education/editors.php","2021-05-19"
"2086",2086,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Dr. Manoj Verma","Senior Scientific Assistant in the Forensic Science Laboratory, India","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2087",2087,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Fahd Mohammed Abd Al Wahab Abd Al Galil","Assistant Professor,Department of Zoology,Faculty of Applied Science, Thamar University, Yemen.","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2088",2088,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Hum Nath Jnawali","Research Professor, Konkuk University, South Korea","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2089",2089,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Melad Gad Paulis","Melad Gad Paulis, Faculty of Medicine El-Minia University, Egypt","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2090",2090,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Rania Georges","Head of the Department of Pharmacology &amp; Toxicology, Al-Baath
University, Homs, Syria","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2091",2091,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Chengtao Li","Chief Professor,
Department of Forensic genetics,
Institute of Forensic Science,Ministry of Justice,
China","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2092",2092,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Rashid Ali","Research Associate
Department of Medical Elementology and Toxicology,
Jamia Hamdard (Hamdard University),
India","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2093",2093,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Konstantin Mikhaylovitch Brusin","Professor of the Toxicology department, Ural State Medical University, Russia","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2094",2094,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Madadin, Mohammed Saleh","University of Dammam, Saudi Arabia","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2095",2095,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Babak Mostafazadeh","Shahid Beheshti University of Medical Sciences, Iran","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2096",2096,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Seohyun Park","Chonbuk National University, South Korea","https://toxicology.imedpub.com/editors.php","2021-05-19"
"2097",2097,"iMedPub","Journal of Medical Toxicology and Clinical Forensic Medicine","Editor","Joong-Seok Seo","Director General, National Forensic Service, South Korea","https://toxicology.imedpub.com/editors.php","2021-05-19"
