publisher	journal	role	editor	orcid	affiliation	url	date
Hindawi	International Journal of Microbiology	Academic Editors	Shady Amin	NA	NYU Abu Dhabi, United Arab Emirates	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Mutamed M. Ayyash	NA	United Arab Emirates University, United Arab Emirates	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Sudhanshu S. Behera	NA	National Institute of Technology, India	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Dengpan Bu	NA	Institute of Animal Science, Chinese Academy of Agricultural sciences, China	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Todd R. Callaway	0000-0002-3310-4979	University of Georgia, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Clemencia Chaves-López	NA	Universita degli Studi di Teramo, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Chioma Blaise Chikere	0000-0003-3004-9780	Microbiology Department, University of Port Harcourt, Nigeria, Nigeria	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Giuseppe Comi	NA	University of Udine, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Karl Drlica	NA	University of Medicine and Dentistry of New Jersey, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Nasreldin Elhadi	0000-0002-7490-3769	Department of Clinical Laboratory Science College of Applied Medical Sciences Imam Abdulrahman Bin Faisal University, Saudi Arabia	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Joseph Falkinham	0000-0002-4391-9012	Virginia Tech, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Marilena Galdiero	0000-0002-0174-0209	Department of Experimental Medicine University of Study of Campania “Luigi Vanvitelli” , Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Izabel Galhardo	NA	UFSC, Brazil	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Carlo Genovese	0000-0003-2463-9047	Department of Biomedical and Biotechnological Sciences, University of Catania, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Marco Gobbetti	NA	Univ Bozen, Fac Food Sci &amp; Technol, I-39100 Bolzano, Italy, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Rossella Grande	NA	Department of Pharmacy of  University G. d'Annunzio University, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Akira Hiraishi	0000-0001-5556-344X	Toyohashi University of Technology, Japan	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Barbara H. Iglewski	NA	University of Rochester, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	David M. Iovannisci	0000-0002-8225-1596	Los Angeles County Department of Public Health, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Faham Khamesipour	NA	Shiraz University, Iran	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Shakeel Ahmad Khan	NA	Department of Chemistry School of Science University of Management &amp; Technology, Pakistan	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Hassan Latrache	NA	" 	 Université Sultan Moulay Slimane, Morocco"	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Zhun Li	NA	Korea Research Institute of Bioscience and Biotechnology, Republic of Korea	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	"Jeferson	 Lourenco"	NA	University of Georgia, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Susana Merino	NA	Universitat de Barcelona, Spain	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Sudarsan Mukhopadhyay	0000-0001-6941-5157	United States Department of Agriculture, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Diriba Muleta	NA	Institute of Biotechnology Addis Ababa University , Ethiopia	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Afef Najjari	NA	LR Biotechnology and Bio-Geo Resources Valorization, Higher Institute for Biotechnology, Biotechpole Sidi Thabet, University of Manouba, 2020, Ariana, Tunisia	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Simona Nardoni	0000-0002-9095-6326	University of Pisa, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Masoumeh Navidinia	NA	Laboratory Science Department. Paramedical Sciences faculty of Shahid Beheshti Medical School University, Tehran, Iran., Iran	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	José M. Pérez-Donoso	0000-0002-9506-1716	Universidad de Chile, Chile	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Sujata Prasad	NA	University of Minnesota, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Pierre Roques	0000-0003-1825-1054	Commissariat à l'Énergie Atomique, France	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Maurizio Sanguinetti	0000-0002-1663-7546	Università Cattolica del SC, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Luigi Santacroce	NA	School of Medicine  University of Bari ALDO MORO,  ITALY, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Manoj Kumar Solanki	NA	Agricultural Research Organization, Israel	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Elena Sorrentino	NA	Department of Agricultural Environmental and Food Sciences (DiAAA) University of Molise, Italy	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Siddharth Kaushal Tripathi	NA	University of Mississippi, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Daniel J. Wolter	0000-0003-4321-8520	University of Washington, USA	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Microbiology	Academic Editors	Ajar Nath Yadav	0000-0002-6911-7050	Eternal University, India	https://www.hindawi.com/journals/ijmicro/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Anil K. Agarwal	NA	The Ohio State University Medical Center, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Alessandro Amore	NA	Università degli Studi di Torino, Italy	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Franca Anglani	NA	Università degli Studi di Padova, Italy	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Emmanuel Effa	NA	University of Calabar, Nigeria	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Udeme Ekrikpo	0000-0002-3911-5564	"3.	Department of Medicine, University of Uyo Teaching Hospital, Uyo, Nigeria, Nigeria"	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Osama El Shamy	NA	Vanderbilt University Medical School, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	David B. Kershaw	0000-0002-5530-4306	University of Michigan, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Tej Mattoo	0000-0003-4391-7874	Wayne State University, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Aditya Pawar	NA	BIDMC/Harvard Medical School, USA and Mayo Clinic, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Joshua Rein	NA	Icahn School of Medicine at Mount Sinai, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Jochen Reiser	0000-0002-0460-662X	Rush University, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Alexandra Scholze	0000-0002-3100-8692	Odense University Hospital, Denmark	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	"Martin		 Sedlacek"	NA	Dartmouth-Hitchcock Medical Center, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Sachin S. Soni	NA	Nephron Kidney Care, United Ciigma Hospital, Aurangabad, India	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Suresh C. Tiwari	NA	All India Institute of Medical Sciences, India	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Jaime Uribarri	0000-0001-9826-1134	Mount Sinai Medical Center, USA	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Nephrology	Academic Editors	Danuta Zwolinska	0000-0002-6714-3992	Department of Pediatric Nephrology, Wrocław Medical University, Poland	https://www.hindawi.com/journals/ijn/editors/	2022-01-04
Hindawi	International Journal of Optics	Chief Editor	Giulio Cerullo	NA	Italian National Research Council, Italy	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Fortunato Tito Arecchi	NA	Università di Firenze, Italy	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Gaetano Assanto	0000-0002-3070-5250	"University of Rome ""Roma Tre"", Italy"	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Augusto Beléndez	0000-0001-7965-5330	Universidad de Alicante, Spain	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	E. Bernabeu	NA	Universidad Complutense de Madrid, Spain	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Wojtek J. Bock	NA	University of Quebec in Outaouais, Canada	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Neil Broderick	NA	The University of Auckland, New Zealand	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	A. Cartaxo	0000-0002-4514-2737	Universidade Técnica de Lisboa, Portugal	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Giulio Cerullo	NA	Politecnico di Milano, Italy	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Bhagwan Das	NA	Quaid-e-Awam University of Engineering, Pakistan	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Sulaiman W. Harun	0000-0003-4879-5853	University of Malaya, Malaysia	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Haochong Huang	NA	China University of Geosciences (Beijing), China	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Nicusor Iftimia	0000-0002-7222-6979	Physical Sciences Inc., USA	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Wonho Jhe	NA	Seoul National University, Republic of Korea	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Mark A. Kahan	NA	Synopsys Incorporated, USA	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Rainer Leitgeb	0000-0002-0131-4111	Medical University of Vienna, Austria	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	"Rujiang Li	"	NA	Xidian University, China	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Gong-Ru Lin	0000-0003-2061-1282	National Taiwan University, Taiwan	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Samir K Mondal	NA	Central Scientific Instruments Organization, India	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Tomasz Osuch	0000-0001-7913-3452	Warsaw University of Technology, Poland	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Gang-Ding Peng	0000-0001-7984-8925	University of New South Wales, Australia	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Chenggen Quan	NA	National University of Singapore, Singapore	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Giancarlo C. Righini	0000-0002-6081-6971	Consiglio Nazionale delle Ricerche, Italy	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Jayanta K. Sahu	0000-0003-3560-6152	University of Southampton, United Kingdom	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Paramasivam Senthilkumaran	0000-0002-1015-0710	Indian Institute of Technology Delhi, India	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	John T. Sheridan	0000-0001-5909-7861	University College Dublin, Ireland	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Mustapha Tlidi	NA	Universite Libre de Bruxelles, Belgium	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Stefano Trillo	NA	University of Ferrara, Italy	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Carmen Vazquez	0000-0003-4895-0913	Universidad Carlos III de Madrid, Spain	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Optics	Academic Editors	Stefan Wabnitz	0000-0003-4419-6618	Sapienza University, Italy	https://www.hindawi.com/journals/ijo/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Indraneel Bhattacharyya	NA	University of Florida, USA	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Roberto O. Dantas	0000-0003-2183-0815	University of São Paulo, Brazil	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Alfio Ferlito	NA	University of Udine, Italy	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Johan H.M. Frijns	0000-0002-1180-3314	Leiden University Medical Centre, The Netherlands	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Francesco Gazia	NA	University of Messina, Italy	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Ludger Klimek	NA	German Academy of Allergology, Germany	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Jose Antonio Lopez-Escamez	0000-0002-8583-1430	Universidad de Granada, Spain	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Americo A. Migliaccio	NA	Neuroscience Research Australia, Australia	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Sergio Motta	NA	University ''Federico II'' of Naples, Italy	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Jeffrey P. Pearson	NA	Newcastle University, United Kingdom	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Gerd J. Ridder	NA	University of Freiburg, Germany	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Vittorio Rinaldi	0000-0001-9541-0018	University of Milan, Italy	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Leonard P. Rybak	NA	Southern Illinois University, USA	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Shakeel Riaz Saeed	NA	UCL Ear Institute, United Kingdom	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Holger Sudhoff	0000-0002-9274-5645	Bielefeld University, Germany	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Otolaryngology	Academic Editors	Srdjan M. Vlajkovic	0000-0001-8548-6844	University of Auckland, New Zealand	https://www.hindawi.com/journals/ijoto/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Chief Editor	Alessandro Mussa	0000-0003-2795-6013	University of Torino, Italy	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Parth Bhatt	NA	Texas Tech University Health Sciences Center, USA	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Lavjay Butani	0000-0002-6577-7975	Department of SurgeryUniversity of California , USA	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Diana Carli	0000-0001-5690-6504	University of Turin, Italy	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Qi-Hong Deng	NA	School of Energy Science and Engineering Central South University , China	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Steven M. Donn	NA	University of Michigan, USA	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	George Jallo	NA	Johns Hopkins Hospital, USA	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Jennifer M. Kalish	0000-0003-1500-9713	Children's Hospital of Philadelphia, USA	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Frederick J. Kaskel	NA	Department of Pediatrics Albert Einstein School of Medicine , USA	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Steven E. Lipshultz	0000-0002-2077-6178	University of Miami, USA	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Samuel Menahem	NA	Monash University, Australia	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Somashekhar Marutirao Nimbalkar	0000-0003-2825-2819	Pramukhswami Medical College, Gokalnagar, Karamsad, India	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Namik Y. Ozbek	0000-0001-6857-0681	Ankara Children's Hematology Oncology Training and Research Hospital, Turkey	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Francesco Porta	NA	University of Torino, Italy	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Asirvatham Alwin Robert	0000-0001-8526-7836	Prince Sultan Military Medical City, Saudi Arabia	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Pediatrics	Academic Editors	Silvia Salvatore	NA	University of Insubria, Italy	https://www.hindawi.com/journals/ijpedi/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Chief Editor	Giulia Grancini	0000-0001-8704-4222	University of Pavia, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Mohamed S.A. Abdel-Mottaleb	0000-0002-4437-7040	Ain Shams University, Egypt	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Angelo Albini	NA	University of Pavia, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Mohammad Alghoul	0000-0001-6429-4800	National University of Malaysia, Malaysia	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Alberto Álvarez-Gallegos	0000-0001-7846-3767	Universidad Autónoma del Estado de Morelos, Mexico	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Vincenzo Augugliaro	0000-0003-1761-4538	Università di Palermo, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Detlef W. Bahnemann	NA	Universität Hannover, Germany	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Simona Binetti	NA	University of Milano-Bicocca, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Fabio Bisegna	0000-0002-4945-9571	Sapienza University of Rome, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Thomas M. Brown	0000-0003-2141-3587	Università degli Studi di Roma Tor Vergata, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Joaquim Carneiro	NA	University of Minho, Portugal	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Yatendra S. Chaudhary	0000-0002-7857-8203	Council of Scientific and Industrial Research, India	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Yong Chen	0000-0003-0844-1137	Huazhong University of Science and Technology, China	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Kok-Keong Chong	0000-0002-7350-597X	Universiti Tunku Abdul Rahman, Malaysia	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Vera Cimrová	0000-0001-5952-6320	Academy of Sciences of the Czech Republic, Czech Republic	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Laura Clarizia	NA	University of Naples Federico II, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Gianluca Coccia	0000-0002-6223-457X	Università Politecnica delle Marche, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Juan M. Coronado	0000-0003-1919-8371	Instituto de Catalisis. ICP-CSIC, Spain	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	P. Davide Cozzoli	0000-0001-8037-6937	Università del Salento, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Dionysios D. Dionysiou	0000-0002-6974-9197	University of Cincinnati, USA	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Abderrazek Douhal	NA	Universidad de Castilla-La Mancha , Spain	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Mahmoud M. El-Nahass	NA	Ain Shams University, Egypt	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Paolo Fornasiero	NA	University of Trieste, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Manuel Fuentes Conde	NA	University of Jaén, Spain	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Elisa Isabel Garcia-Lopez	0000-0002-1409-8921	Universita' degli Studi di Palermo, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Mohammed Ashraf Gondal	NA	King Fahd University of Petroleum and Minerals, Saudi Arabia	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Pierluigi Guerriero	0000-0003-3289-702X	University Federico II, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Michael D. Heagy	0000-0002-4519-078X	New Mexico Institute of Mining and Technology, USA	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Wing-Kei Ho	0000-0003-1528-9532	The Hong Kong Institute of Education, Hong Kong	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Jürgen Hüpkes	0000-0001-8927-8778	Forschungszentrum Jülich, Germany	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Adel A. Ismail	NA	Kuwait University, Kuwait City, Kuwait	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Chun-Sheng Jiang	NA	National Renewable Energy Laboratory, USA	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Zaiyong Jiang	NA	Qilu University of Technology, China	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Yuanzuo Li	0000-0001-8530-6903	Northeast Forestry University, China	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Manuel Ignacio Maldonado	NA	Plataforma Solar de Almería-CIEMAT, Spain	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
Hindawi	International Journal of Photoenergy	Academic Editors	Santolo Meo	0000-0002-7712-1244	University Federico II, Italy	https://www.hindawi.com/journals/ijp/editors/	2022-01-04
